Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-06-20 00:00:00-04:00,10.857415494814157,11.098485563517896,10.801783600406,11.070669174194336,53468000,0.0,0.0
2024-06-21 00:00:00-04:00,11.033581104105146,11.042853233513918,10.903774829338053,10.977950096130371,50201900,0.0,0.0
2024-06-24 00:00:00-04:00,11.061397036128056,11.358098091060539,11.052124907101692,11.339553833007812,58436900,0.0,0.0
2024-06-25 00:00:00-04:00,11.283924496507291,11.321012133860057,11.154117323653097,11.209749221801758,39323900,0.0,0.0
2024-06-26 00:00:00-04:00,11.135573815047044,11.246836725785952,11.079941917558083,11.228292465209961,41426600,0.0,0.0
2024-06-27 00:00:00-04:00,11.200475434567934,11.478633115686584,11.172659931727738,11.339553833007812,48080200,0.0,0.0
2024-06-28 00:00:00-04:00,11.367371151905209,11.701159866065938,11.367371151905209,11.626984596252441,65914700,0.0,0.0
2024-07-01 00:00:00-04:00,11.645527837470658,11.932956761803705,11.617711450543805,11.830965995788574,56152700,0.0,0.0
2024-07-02 00:00:00-04:00,11.89587001480925,12.00713291807437,11.793879241209293,11.932957649230957,46990400,0.0,0.0
2024-07-03 00:00:00-04:00,11.951501908561287,12.016405047739536,11.868054510052708,11.932957649230957,26894300,0.0,0.0
2024-07-05 00:00:00-04:00,11.932957334467169,12.0164047307746,11.821694434136905,11.905141830444336,31589300,0.0,0.0
2024-07-08 00:00:00-04:00,12.025676150690046,12.238929809348193,11.979316390561225,12.034947395324707,44346200,0.0,0.0
2024-07-09 00:00:00-04:00,12.01640536323023,12.118396139507956,11.942230092439345,11.960773468017578,40680900,0.0,0.0
2024-07-10 00:00:00-04:00,12.007133397513382,12.248203472999768,11.970045761610784,12.211115837097168,36305500,0.0,0.0
2024-07-11 00:00:00-04:00,12.28529063949915,12.554176210579008,12.28529063949915,12.489273071289062,51443400,0.0,0.0
2024-07-12 00:00:00-04:00,12.544903301135228,13.17539393243839,12.544903301135228,13.008499145507812,85609700,0.0,0.0
2024-07-15 00:00:00-04:00,13.175393927671776,13.379376346708806,13.091946534236676,13.193937301635742,65643300,0.0,0.0
2024-07-16 00:00:00-04:00,13.231027018030089,13.416465195682578,13.156850862730114,13.342289924621582,52040100,0.0,0.0
2024-07-17 00:00:00-04:00,13.249570379781744,13.564815723579885,13.240298249849097,13.425736427307129,58087100,0.0,0.0
2024-07-18 00:00:00-04:00,13.45355205319874,13.768797379096933,13.397920161000677,13.490639686584473,58077000,0.0,0.0
2024-07-19 00:00:00-04:00,13.435008082293663,13.444280211898526,12.94359670834221,12.962140083312988,75908600,0.0,0.0
2024-07-22 00:00:00-04:00,12.999228910011361,13.147579450251547,12.785974345236866,13.091947555541992,59116800,0.0,0.0
2024-07-23 00:00:00-04:00,13.036316507209326,13.045587752768185,12.581991873744565,12.8230619430542,85897700,0.0,0.0
2024-07-24 00:00:00-04:00,12.730343194814395,12.86942249760015,12.600536906634515,12.674712181091309,81768700,0.0,0.0
2024-07-25 00:00:00-04:00,10.940862831678869,11.107756745470072,10.338187663369375,10.34745979309082,259484000,0.0,0.0
2024-07-26 00:00:00-04:00,10.393820827260177,10.532899253117057,10.245470270549088,10.375276565551758,79599900,0.0,0.0
2024-07-29 00:00:00-04:00,10.36600335688864,10.36600335688864,10.01367040926886,10.208380699157715,91667500,0.0,0.0
2024-07-30 00:00:00-04:00,10.226925369512493,10.301100643231027,9.995127418082316,10.050759315490723,69337000,0.0,0.0
2024-07-31 00:00:00-04:00,10.069301798302186,10.208381087362511,9.939495522932605,10.032214164733887,75478000,0.0,0.0
